1,0,1,0,20,10,10,20
6,0,1,0,20,10,10,20
7,0,2,0,30,10,20,30
10,1,2,0,30,20,10,30
13,1,2,0,30,20,10,30
2,0,3,0,40,10,30,40
9,1,3,0,40,20,20,40
16,2,3,0,40,30,10,40
11,1,5,0,60,20,40,60
19,2,5,0,60,30,30,60
241,4,5,30,60,20,10,30
3,0,6,0,70,10,60,70
12,1,6,0,70,20,50,70
4,0,8,0,90,10,80,90
95,5,8,10,90,50,30,80
98,5,8,10,90,50,30,80
107,6,8,10,90,60,20,80
243,6,8,30,90,40,20,60
246,6,8,30,90,40,20,60
5,0,9,0,100,10,90,100
18,2,9,0,100,30,70,100
99,5,9,10,100,50,40,90
108,6,9,10,100,60,30,90
260,8,9,30,100,60,10,70
171,28,9,10,500,300,190,490
174,28,6,10,530,300,220,520
172,28,5,10,540,300,230,530
173,28,4,10,550,300,240,540
169,28,3,10,560,300,250,550
96,5,1,10,580,530,40,570
88,29,0,0,590,300,290,590
176,29,0,10,590,290,290,580
87,28,0,0,590,310,280,590
170,28,0,10,590,300,280,580
175,28,0,10,590,300,280,580
205,9,0,20,590,480,90,570
102,6,0,10,590,520,60,580
240,4,0,30,590,520,40,560
23,3,0,0,590,560,30,590
8,1,0,0,590,580,10,590
177,0,1,20,600,570,10,580
182,0,1,20,600,570,10,580
183,0,2,20,610,570,20,590
185,1,2,20,610,580,10,590
178,0,3,20,620,570,30,600
184,1,3,20,620,580,20,600
20,2,4,0,630,610,20,630
179,0,6,20,650,570,60,630
21,2,6,0,650,610,40,650
180,0,8,20,670,570,80,650
14,1,8,0,670,600,70,670
256,7,8,30,670,630,10,640
181,0,9,20,680,570,90,660
236,0,9,30,680,560,90,650
15,1,9,0,680,600,80,680
247,6,9,30,680,620,30,650
111,7,9,10,680,650,20,670
257,7,9,30,680,630,20,650
168,27,9,10,1080,890,180,1070
167,27,8,10,1090,890,190,1080
165,27,6,10,1110,890,210,1100
164,27,5,10,1120,890,220,1110
162,27,3,10,1140,890,240,1130
103,6,3,10,1140,1100,30,1130
97,5,3,10,1140,1110,20,1130
163,27,2,10,1150,890,250,1140
166,27,2,10,1150,890,250,1140
86,27,1,0,1160,900,260,1160
85,27,0,0,1170,900,270,1170
161,27,0,10,1170,890,270,1160
265,9,0,30,1170,1050,90,1140
29,8,0,0,1170,1090,80,1170
198,3,0,20,1170,1120,30,1150
17,2,0,0,1170,1150,20,1170
22,2,0,0,1170,1150,20,1170
91,2,0,10,1170,1140,20,1160
192,2,0,20,1170,1130,20,1150
188,1,2,20,1190,1160,10,1170
191,2,3,20,1200,1170,10,1180
195,2,4,20,1210,1170,20,1190
186,1,5,20,1220,1160,40,1200
92,2,5,10,1220,1180,30,1210
194,2,5,20,1220,1170,30,1200
187,1,6,20,1230,1160,50,1210
196,2,6,20,1230,1170,40,1210
189,1,8,20,1250,1160,70,1230
190,1,9,20,1260,1160,80,1240
193,2,9,20,1260,1170,70,1240
158,26,9,10,1660,1480,170,1650
154,26,8,10,1670,1480,180,1660
157,26,8,10,1670,1480,180,1660
152,24,5,10,1700,1500,190,1690
156,26,3,10,1720,1480,230,1710
258,8,3,30,1720,1640,50,1690
160,26,2,10,1730,1480,240,1720
155,26,1,10,1740,1480,250,1730
159,26,1,10,1740,1480,250,1730
100,5,1,10,1740,1690,40,1730
151,24,0,10,1750,1500,240,1740
81,23,0,0,1750,1520,230,1750
204,8,0,20,1750,1650,80,1730
259,8,0,30,1750,1640,80,1720
197,2,0,20,1750,1710,20,1730
76,22,9,0,2240,2110,130,2240
79,22,6,0,2270,2110,160,2270
77,22,5,0,2280,2110,170,2280
69,21,5,0,2280,2120,160,2280
261,8,5,30,2280,2220,30,2250
78,22,4,0,2290,2110,180,2290
74,22,3,0,2300,2110,190,2300
67,21,3,0,2300,2120,180,2300
68,21,2,0,2310,2120,190,2310
104,6,2,10,2310,2260,40,2300
101,5,2,10,2310,2270,30,2300
75,22,0,0,2330,2110,220,2330
80,22,0,0,2330,2110,220,2330
73,21,9,0,2820,2700,120,2820
64,20,9,0,2820,2710,110,2820
72,21,8,0,2830,2700,130,2830
63,20,8,0,2830,2710,120,2830
70,21,6,0,2850,2700,150,2850
62,20,6,0,2850,2710,140,2850
263,8,6,30,2850,2800,20,2820
105,6,5,10,2860,2840,10,2850
262,8,4,30,2870,2800,40,2840
61,20,3,0,2880,2710,170,2880
71,21,2,0,2890,2700,190,2890
106,6,2,10,2890,2840,40,2880
60,20,1,0,2900,2710,190,2900
65,20,1,0,2900,2710,190,2900
244,6,1,30,2900,2820,50,2870
264,8,0,30,2910,2800,80,2880
27,7,0,0,2910,2840,70,2910
147,20,9,10,3400,3280,110,3390
230,18,9,20,3400,3290,90,3380
231,18,5,20,3440,3290,130,3420
28,7,5,0,3440,3420,20,3440
232,18,4,20,3450,3290,140,3430
228,18,3,20,3460,3290,150,3440
109,7,3,10,3460,3410,40,3450
66,20,2,0,3470,3290,180,3470
146,19,0,10,3490,3290,190,3480
235,19,0,20,3490,3280,190,3470
145,18,0,10,3490,3300,180,3480
229,18,0,20,3490,3290,180,3470
53,17,9,0,3980,3900,80,3980
233,18,6,20,4010,3870,120,3990
56,17,6,0,4010,3900,110,4010
54,17,5,0,4020,3900,120,4020
55,17,4,0,4030,3900,130,4030
51,17,3,0,4040,3900,140,4040
245,6,3,30,4040,3980,30,4010
248,6,1,30,4060,3980,50,4030
234,18,0,20,4070,3870,180,4050
52,17,0,0,4070,3900,170,4070
57,17,0,0,4070,3900,170,4070
143,17,0,10,4070,3890,170,4060
110,7,0,10,4070,3990,70,4060
227,17,9,20,4560,4460,80,4540
226,17,8,20,4570,4460,90,4550
224,17,6,20,4590,4460,110,4570
223,17,5,20,4600,4460,120,4580
112,7,5,10,4600,4570,20,4590
113,7,4,10,4610,4570,30,4600
221,17,3,20,4620,4460,140,4600
222,17,2,20,4630,4460,150,4610
225,17,2,20,4630,4460,150,4610
249,6,2,30,4630,4560,40,4600
144,17,1,10,4640,4470,160,4630
220,17,0,20,4650,4460,170,4630
44,16,0,0,4650,4490,160,4650
50,16,9,0,5140,5070,70,5140
49,16,8,0,5150,5070,80,5150
213,16,8,20,5150,5050,80,5130
216,16,8,20,5150,5050,80,5130
114,7,6,10,5170,5150,10,5160
47,16,5,0,5180,5070,110,5180
45,16,3,0,5200,5070,130,5200
215,16,3,20,5200,5050,130,5180
46,16,2,0,5210,5070,140,5210
